"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"8097459"	"1"	"0.0000573"	"7.39"	"-1.88"	"6.03e-01"	""	""
"8093294"	"1"	"0.0001488"	"-6.48"	"-2.04"	"-1.22"	"CCR2"	"C-C motif chemokine receptor 2"
"7895562"	"1"	"0.0001866"	"6.28"	"-2.09"	"9.48e-01"	""	""
"8079392"	"1"	"0.0001867"	"-6.28"	"-2.09"	"-1.17"	"CCR2"	"C-C motif chemokine receptor 2"
"7895669"	"1"	"0.0001949"	"6.24"	"-2.1"	"5.99e-01"	""	""
"7895064"	"1"	"0.0003861"	"5.66"	"-2.24"	"7.69e-01"	""	""
"8158560"	"1"	"0.0004885"	"-5.47"	"-2.3"	"-5.49e-01"	"TOR1B"	"torsin family 1 member B"
"7896008"	"1"	"0.0005498"	"5.37"	"-2.33"	"4.42e-01"	""	""
"8095021"	"1"	"0.00056"	"-5.36"	"-2.33"	"-3.43e-01"	"SPATA18"	"spermatogenesis associated 18"
"7989493"	"1"	"0.0005742"	"-5.34"	"-2.34"	"-4.20e-01"	"RPS27L"	"ribosomal protein S27 like"
"7937940"	"1"	"0.0006366"	"-5.26"	"-2.36"	"-9.11e-01"	"OR52K3P"	"olfactory receptor family 52 subfamily K member 3 pseudogene"
"7960771"	"1"	"0.0006467"	"5.24"	"-2.37"	"5.58e-01"	"CD163L1"	"CD163 molecule like 1"
"7894745"	"1"	"0.0007688"	"-5.11"	"-2.41"	"-5.42e-01"	""	""
"8089261"	"1"	"0.0007698"	"5.11"	"-2.41"	"4.31e-01"	"CBLB"	"Cbl proto-oncogene B"
"8102948"	"1"	"0.0008166"	"5.06"	"-2.43"	"3.45e-01"	""	""
"7995379"	"1"	"0.0008865"	"-5.00"	"-2.45"	"-2.82e-01"	""	""
"7975889"	"1"	"0.0008885"	"-5.00"	"-2.45"	"-3.82e-01"	"VASH1"	"vasohibin 1"
"7969675"	"1"	"0.001053"	"4.87"	"-2.49"	"3.77e-01"	""	""
"8073544"	"1"	"0.001085"	"4.85"	"-2.5"	"3.55e-01"	"MIR33A"	"microRNA 33a"
"7954810"	"1"	"0.0010967"	"-4.84"	"-2.5"	"-4.17e-01"	"LRRK2"	"leucine rich repeat kinase 2"
"8051864"	"1"	"0.0011174"	"-4.82"	"-2.51"	"-2.87e-01"	"C1GALT1C1L"	"C1GALT1-specific chaperone 1 like"
"7895011"	"1"	"0.0011422"	"4.81"	"-2.52"	"5.70e-01"	""	""
"7917561"	"1"	"0.0011432"	"-4.81"	"-2.52"	"-1.90"	"GBP4"	"guanylate binding protein 4"
"7917516"	"1"	"0.0011807"	"-4.78"	"-2.52"	"-8.63e-01"	"GBP1P1///GBP3///GBP1"	"guanylate binding protein 1 pseudogene 1///guanylate binding protein 3///guanylate binding protein 1"
"7894729"	"1"	"0.00119"	"4.78"	"-2.53"	"4.28e-01"	""	""
"7896595"	"1"	"0.0013182"	"4.70"	"-2.56"	"4.43e-01"	""	""
"8107094"	"1"	"0.0013321"	"-4.69"	"-2.56"	"-3.88e-01"	""	""
"8139656"	"1"	"0.0014502"	"4.63"	"-2.58"	"5.87e-01"	"GRB10"	"growth factor receptor bound protein 10"
"7893481"	"1"	"0.0014946"	"4.61"	"-2.59"	"3.08e-01"	""	""
"8008185"	"1"	"0.0015085"	"-4.60"	"-2.59"	"-4.46e-01"	"ABI3"	"ABI family member 3"
"8021546"	"1"	"0.0015164"	"-4.60"	"-2.6"	"-5.96e-01"	"ZCCHC2"	"zinc finger CCHC-type containing 2"
"7893918"	"1"	"0.0016188"	"-4.55"	"-2.61"	"-4.46e-01"	""	""
"7895708"	"1"	"0.0016871"	"4.52"	"-2.63"	"4.33e-01"	""	""
"7938286"	"1"	"0.001896"	"4.43"	"-2.66"	"2.78e-01"	"RPL27A"	"ribosomal protein L27a"
"8079401"	"1"	"0.0019591"	"-4.41"	"-2.67"	"-4.62e-01"	"CCR5"	"C-C motif chemokine receptor 5 (gene/pseudogene)"
"8093298"	"1"	"0.0019591"	"-4.41"	"-2.67"	"-4.62e-01"	"CCR5"	"C-C motif chemokine receptor 5 (gene/pseudogene)"
"7940775"	"1"	"0.0021926"	"-4.33"	"-2.7"	"-7.57e-01"	"RARRES3///RARRES3"	"retinoic acid receptor responder 3///retinoic acid receptor responder 3"
"7893136"	"1"	"0.0022092"	"4.33"	"-2.71"	"5.91e-01"	""	""
"8158183"	"1"	"0.0022303"	"4.32"	"-2.71"	"6.34e-01"	"DNM1"	"dynamin 1"
"7894927"	"1"	"0.0022971"	"-4.30"	"-2.72"	"-5.16e-01"	""	""
"7928328"	"1"	"0.0023442"	"-4.28"	"-2.72"	"-5.17e-01"	""	""
"7894690"	"1"	"0.0026454"	"-4.20"	"-2.76"	"-5.40e-01"	""	""
"7917532"	"1"	"0.0026539"	"-4.20"	"-2.76"	"-5.33e-01"	"GBP2"	"guanylate binding protein 2"
"7894268"	"1"	"0.0026909"	"4.19"	"-2.77"	"2.87e-01"	""	""
"7893847"	"1"	"0.0026964"	"4.18"	"-2.77"	"3.87e-01"	""	""
"7897559"	"1"	"0.0027446"	"4.17"	"-2.77"	"2.50e-01"	""	""
"7896016"	"1"	"0.0027949"	"-4.16"	"-2.78"	"-7.91e-01"	""	""
"7955858"	"1"	"0.002811"	"4.16"	"-2.78"	"2.64e-01"	"HOXC10"	"homeobox C10"
"7977319"	"1"	"0.0028119"	"-4.15"	"-2.78"	"-1.13"	"PLD4"	"phospholipase D family member 4"
"8073068"	"1"	"0.0028854"	"-4.14"	"-2.79"	"-4.48e-01"	"APOBEC3C"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3C"
"8082400"	"1"	"0.0029251"	"4.13"	"-2.79"	"2.22e-01"	"KBTBD12"	"kelch repeat and BTB domain containing 12"
"8174277"	"1"	"0.0030134"	"-4.11"	"-2.8"	"-4.27e-01"	""	""
"8180374"	"1"	"0.0030145"	"-4.11"	"-2.8"	"-5.27e-01"	"APOBEC3F"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3F"
"8025488"	"1"	"0.0030955"	"-4.09"	"-2.81"	"-2.97e-01"	"ZNF559-ZNF177///ZNF177"	"ZNF559-ZNF177 readthrough///zinc finger protein 177"
"8017964"	"1"	"0.0031171"	"4.08"	"-2.81"	"1.11"	"ABCA6"	"ATP binding cassette subfamily A member 6"
"7892725"	"1"	"0.0031322"	"-4.08"	"-2.82"	"-1.34"	""	""
"8107270"	"1"	"0.0032027"	"4.06"	"-2.82"	"4.18e-01"	"TSLP"	"thymic stromal lymphopoietin"
"7961243"	"1"	"0.0032123"	"4.06"	"-2.82"	"2.43e-01"	"TAS2R8"	"taste 2 receptor member 8"
"8094259"	"1"	"0.0032866"	"-4.05"	"-2.83"	"-4.42e-01"	"LAP3"	"leucine aminopeptidase 3"
"8088247"	"1"	"0.0034348"	"-4.02"	"-2.84"	"-5.60e-01"	"ARHGEF3"	"Rho guanine nucleotide exchange factor 3"
"8104490"	"1"	"0.0034974"	"4.00"	"-2.85"	"2.77e-01"	""	""
"8114733"	"1"	"0.0035665"	"-3.99"	"-2.86"	"-3.00e-01"	"ARAP3"	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"
"7893921"	"1"	"0.0035852"	"-3.99"	"-2.86"	"-3.71e-01"	""	""
"8098611"	"1"	"0.0036427"	"-3.98"	"-2.86"	"-9.15e-01"	"TLR3"	"toll like receptor 3"
"7933872"	"1"	"0.003715"	"-3.96"	"-2.87"	"-3.72e-01"	"EGR2"	"early growth response 2"
"8099834"	"1"	"0.0037668"	"-3.95"	"-2.87"	"-3.35e-01"	"TLR1"	"toll like receptor 1"
"8072710"	"1"	"0.0037968"	"-3.95"	"-2.88"	"-4.13e-01"	"APOL6"	"apolipoprotein L6"
"8135544"	"1"	"0.0038034"	"-3.95"	"-2.88"	"-2.32e-01"	"FOXP2"	"forkhead box P2"
"7896382"	"1"	"0.0038367"	"3.94"	"-2.88"	"2.68e-01"	""	""
"7902495"	"1"	"0.0038589"	"-3.94"	"-2.88"	"-5.18e-01"	"NEXN"	"nexilin F-actin binding protein"
"7895720"	"1"	"0.0039421"	"-3.92"	"-2.89"	"-8.22e-01"	""	""
"8022279"	"1"	"0.0040004"	"-3.91"	"-2.89"	"-6.14e-01"	""	""
"7893863"	"1"	"0.0040108"	"3.91"	"-2.9"	"5.25e-01"	""	""
"8092594"	"1"	"0.0040704"	"3.90"	"-2.9"	"2.94e-01"	""	""
"7982550"	"1"	"0.0040744"	"-3.90"	"-2.9"	"-2.05e-01"	""	""
"7893177"	"1"	"0.0040937"	"3.90"	"-2.9"	"1.10"	""	""
"7896307"	"1"	"0.0041219"	"3.89"	"-2.9"	"7.52e-01"	""	""
"8087374"	"1"	"0.004213"	"-3.88"	"-2.91"	"-3.47e-01"	"C3orf62"	"chromosome 3 open reading frame 62"
"7895369"	"1"	"0.0042629"	"3.87"	"-2.92"	"6.16e-01"	""	""
"8017927"	"1"	"0.0042945"	"3.86"	"-2.92"	"5.67e-01"	"ABCA9"	"ATP binding cassette subfamily A member 9"
"8068401"	"1"	"0.0043294"	"-3.86"	"-2.92"	"-3.08e-01"	"CBR1"	"carbonyl reductase 1"
"7965979"	"1"	"0.0043915"	"3.85"	"-2.93"	"6.31e-01"	"ALDH1L2"	"aldehyde dehydrogenase 1 family member L2"
"7917576"	"1"	"0.0044321"	"-3.84"	"-2.93"	"-1.08"	"GBP5"	"guanylate binding protein 5"
